h1,h2,h3,h4,h5,h6,h7,h8,h9,10,h11,h12,h13,h14
2000,0,1,1,1,6,2,0,0,0,0,0,1,0
2001,1,0,0,1,1,4,1,0,0,1,0,1,0
2002,2,1,0,1,2,0,0,0,0,0,0,0,0
2003,1,0,2,0,3,0,0,0,0,4,0,0,0
2004,7,0,0,2,1,0,0,0,2,1,0,0,0
2005,0,0,0,1,1,0,0,1,1,1,0,0,2
2006,4,0,1,1,1,0,1,0,1,0,1,0,1
2007,2,1,1,0,0,3,0,2,1,1,0,3,1
2008,11,0,0,2,2,2,2,2,1,1,1,0,0
2009,1,0,1,1,2,2,3,2,1,0,1,1,1
2010,2,0,1,1,2,7,3,0,1,0,0,0,0
2011,0,0,0,1,3,0,4,0,3,0,0,1,0
2012,1,0,2,0,0,0,13,0,3,3,2,0,0
2013,2,5,1,1,0,3,0,12,0,5,6,0,1
2014,1,3,0,1,0,0,0,0,0,0,0,0,2
